wallet_age_days,avg_tx,recent_tx,tx_frequency,tx_per_min,tx_per_hour,tx_per_day,avg_time_between_tx_sec,wallet,token,last_updated
37,4.266542569742639,1.791759469228055,1.7567567567567568,0.0011902058873076,0.0714123532384586,1.713896477723008,50411.44615384616,0xdE7a849216Aa3884d53d84eCB02c19eb67E5dae2,USDT,1776012875
1,0.0033099930240087,0.0059820716775474,10000.0,3.5350678733031677,212.10407239819003,5090.497737556561,16.9728,0x7D9f4Ca54131e588FC1fE577973B55FB11231E76,USDT,1776012893
38,0.1680829087898808,0.0010154842213245,31.210526315789476,0.0214875314341206,1.2892518860472364,30.94204526513367,2792.317032040472,0x3123feCe1DB04fC13AA0992F09171374bFcb3411,USDT,1776012905
823,154.41982729340555,2.3978952727983707,12.15066828675577,0.0084314870849853,0.5058892250991206,12.141341402378892,7116.1824,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDT,1776012982
13,10.195588687142061,9.350189267092581,101.46153846153847,0.06869076137902302,4.12144568274138,98.91469638579315,873.4799090219864,0xAe2001f7e21d5EcABf6234E9FDd1E76F50F74962,USDT,1776015403
731,23.3622465420065,0.6931471805599453,0.07250341997264022,5.0298115984418594e-05,0.003017886959065116,0.07242928701756277,1192887.6226415094,0x0000000000000068F116a894984e2DB1123eB395,USDT,1776015450
117,7.130443966548673,2.3978952727983707,0.09401709401709402,6.513392719684895e-05,0.003908035631810937,0.09379285516346247,921178.9090909091,0x4337084D9E255Ff0702461CF8895CE9E3b5Ff108,USDT,1776015526
534,32.83384170900788,0.6931471805599453,8.638576779026216,0.005999002290362635,0.35994013742175807,8.638563298122193,10001.663125948407,0x0000000000001fF3684f28c67538d4D072C22734,USDT,1776015538
1,16.52555279696419,0.05931865423604952,10000.0,24.703557312252965,1482.2134387351778,35573.12252964427,2.4288,0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6,USDC,1776015551
1,5.115171355945018,0.13025164512778398,10000.0,14.705882352941176,882.3529411764705,21176.470588235294,4.08,0xF4e147Db314947fC1275a8CbB6Cde48c510cd8CF,USDC,1776015566
