wallet_age_days,avg_tx,recent_tx,tx_frequency,tx_per_min,tx_per_hour,tx_per_day,avg_time_between_tx_sec,wallet,token,source
1452,1441.6718155483873,252.953394,0.02134986225895317,1.4823704787162442e-05,0.0008894222872297466,0.021346134893513915,4047571.1612903224,0x925b4da386cde43772c5e83f97442896e2d7f0bd,usdc,normal
1178,28619.190926238098,100000.0,0.10696095076400679,7.427231697444289e-05,0.004456339018466574,0.10695213644319777,807838.0,0xfe68b5e62308cdf8baeb70a6b568690c99399f1b,usdc,normal
772,957.5590428809525,0.0,0.054404145077720206,3.7737612179544776e-05,0.0022642567307726864,0.05434216153854447,1589925.7142857143,0x47a2cbde64e2d671d9cfde2bee8b68645b4e10f7,usdc,normal
23,0.001,0.001,0.782608695652174,0.000522414483651329,0.031344869019079735,0.7522768564579138,114851.33333333333,0x12d916bea9933cd025d3c325b4d5497d7bea96e6,usdc,normal
1313,18638.330434177773,795.444612,0.10281797410510282,7.139628003697693e-05,0.004283776802218616,0.10281064325324678,840379.9185185186,0xf6c584360c778a3ede67c73314d45de46521268b,usdc,normal
170,128.83191563636365,74.232691,0.06470588235294118,4.4804290784734934e-05,0.002688257447084096,0.0645181787300183,1339157.4545454546,0x23b921b4e3993c492b35ea463c47ee251bc6b1c8,usdc,normal
402,2462.831948,4000.5,0.05472636815920398,3.797714397376953e-05,0.0022786286384261717,0.05468708732222813,1579897.6363636365,0x640d5e4ab17482b878cb8127425e30bf6689c4ac,usdc,normal
121,13750.0,5000.0,0.09917355371900827,6.88175989539725e-05,0.00412905593723835,0.0990973424937204,871870.0,0x8eac33b72047d2d204b3d9afc6fa5127d0e02505,usdc,normal
39,0.0010000000000000005,0.001,6.051282051282051,0.004141280849032766,0.24847685094196592,5.963444422607182,14488.271186440677,0x0ca1517f70d16358bc5715e65d66b01530c53d94,usdc,normal
2398,6240.256918461153,6656.208214,0.1663886572143453,0.00011551659704974182,0.006930995822984509,0.16634389975162822,519405.8822055138,0x417c22dbed1d59027b692099c770a5778caba46f,usdc,normal
1988,180795.8499623077,512750.034724,0.019617706237424547,1.3619235067281378e-05,0.0008171541040368827,0.019611698496885183,4405533.769230769,0xbe286d574b1ea46f54955bd856821f84dfd20b2e,usdc,normal
3,192.0002,0.001,1.6666666666666667,0.0008830489915580517,0.052982939493483094,1.2715905478435943,67946.4,0x6053d8adfd5c6dd4d97d1c65b53ff0e395e9ce87,usdc,normal
0,133.334,0.001,6.0,0.004303543250609668,0.2582125950365801,6.197102280877923,13942.0,0x2185c903e28d864a5a950378b176b21970b792e5,usdc,normal
1145,2368.0808395999998,100.0,0.0611353711790393,4.24202780564386e-05,0.002545216683386316,0.06108520040127159,1414417.8857142858,0x5483d8142a1f9b22e6aee41d33eff43b928a198b,usdc,normal
995,665.1679656774194,0.0,0.031155778894472363,2.1624315328835385e-05,0.001297458919730123,0.03113901407352295,2774654.3225806453,0x7c96349203f795a0e447b2c161f9f7865eb5e176,usdc,normal
396,1847.315103272727,21.037389,0.027777777777777776,1.9282744993410562e-05,0.0011569646996046335,0.027767152790511205,3111590.1818181816,0xaf2358e98683265cbd3a48509123d390ddf54534,usdc,normal
1885,125305.06351330003,3.5771,0.010610079575596816,7.367477905593765e-06,0.00044204867433562587,0.010609168184055022,8143899.55,0x00e9fec55aec66b9aece8e678fa8c99804afc334,usdc,normal
1883,184224.48980081014,2371.981114,0.04195432819968136,2.9125226226661593e-05,0.0017475135735996955,0.04194032576639269,2060069.835443038,0x7582d0b7a150f6227b447a0f282bff612f0f4b3e,usdc,normal
502,189.69195661904763,1089.2947,0.08366533864541832,5.800339071249708e-05,0.0034802034427498245,0.08352488262599579,1034422.2857142857,0x7eb9e83e62f20c3d851c5535ae4460e184a7b344,usdc,normal
37,0.0010000000000000002,0.001,2.5405405405405403,0.0017359764498173533,0.10415858698904118,2.4998060877369888,34562.68085106383,0x6ba08f3335851e6d112e87755ac4d6636e60f477,usdc,normal
1137,12160.314378175,0.000566,0.03518029903254178,2.4428017959478804e-05,0.0014656810775687283,0.03517634586164948,2456196.0,0x8c68c973c4a61027d7d8ecf6f5ed11965dd059db,usdc,normal
1619,6191.538565359999,2002.83997,0.015441630636195183,1.0720266091298075e-05,0.0006432159654778844,0.015437183171469226,5596876.0,0x85ce5615fec06a9590ac69d950f12498a5104f01,usdc,normal
356,12035.9873016,89.968254,0.014044943820224719,9.737124891869228e-06,0.0005842274935121538,0.014021459844291689,6161983.2,0x4cd2539dbc558d4dbe60f80a5ffdd552458e334b,usdc,normal
